key,0,1
#,,
offset,0,4
int32,str,str
0,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_000","We ApOlOgIzE fOr ThE iNcOnVeNiEnCe, BuT tHe ReFeReNcE dEsK iS cUrReNtLy ExPeRiEnCiNg An UnUsUaLlY hIgH vOlUmE oF rEqUeStS. pLeAsE sTaNd By UnTiL tHiS iSsUe Is ReSoLvEd."
1,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_010","HoW mAy I hElP yOu ToDaY? sTaTe ThE sUbJeCt Of YoUr ReSeArCh, AnD i WiLl DiReCt YoU tO tHe MoSt ApPlIcAbLe ReSoUrCe."
2,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_Q1_000_100","What will you say?"
3,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_101","The laws of the heavens."
4,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_102","The establishment of the Forum."
5,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_103","The principles of Sharlayan."
6,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_104","The secrets of healthy living."
7,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_105","The foundation of Sharlayan."
8,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_106","The colony of Sharlayan."
9,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_107","Muscmaloi."
10,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_111","「トラル大陸の野菜」について知りたい"
11,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_112","「トラル大陸の生物」について知りたい"
12,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_113","「惑星ハイデリンの地政学」について知りたい"
13,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_114","「青魔法」について知りたい"
14,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_A1_000_110","Cancel."
15,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_120","ThErE iS oNe VoLuMe AvAiLaBlE wHiCh MeEtS yOuR sEaRcH cRiTeRiA. rEtRiEvInG rEsOuRcE fRoM aRcHiVeS... rEsOuRcE rEtRiEvEd. HaPpY rEaDiNg!"
16,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_NOUMENONAUTOMATON_000_130","I sEe YoU aRe In PoSsEsSiOn Of A sAgE's SoUl CrYsTaL. pLeAsE aLlOw Me To ReTrIeVe A sUiTaBlE vOlUmE fRoM tHe ArChIvEs... ReSoUrCe ReTrIeVeD. hApPy ReAdInG!"
17,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_201","(-<hex:021A020203>An Introduction to the Heavens<hex:021A020103>-)<hex:021A020203>Have you ever gazed at the skies above and contemplated the mysteries contained therein? I speak not of shifting cloud patterns, but of the vastness beyond─of the sun and the twinkling tapestry of the night.<hex:021A020103>"
18,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_202","(-<hex:021A020203>An Introduction to the Heavens<hex:021A020103>-)<hex:021A020203>Some think the dome above us to be a finite space, yet amongst the leading thinkers of our age, one scholar's depiction of a boundless sea of stars has firmly taken root.<hex:021A020103>"
19,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_203","(-<hex:021A020203>An Introduction to the Heavens<hex:021A020103>-)<hex:021A020203>Alas, this heavenly sea remains an unreachable, unknowable destination. There are few indeed who can explain, in satisfactory detail, why our own star is believed to revolve around the sun.<hex:021A020103>"
20,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_204","(-<hex:021A020203>An Introduction to the Heavens<hex:021A020103>-)<hex:021A020203>It was the technologists of Allag who came closest to understanding the laws which govern that starry abyss. It was they who launched Dalamud, and sought to expand beyond our earthbound existence.<hex:021A020103>"
21,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_205","(-<hex:021A020203>An Introduction to the Heavens<hex:021A020103>-)<hex:021A020203>...Having read of their ancient ambitions, I wonder: has your interest in this field of study waxed or waned?<hex:021A020103>"
22,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_206","(-<hex:021A020203>An Introduction to the Heavens<hex:021A020103>-)<hex:021A020203>What if I were to tell you that the eternal constellations were arranged differently in the distant past? That their positions continue to shift almost imperceptibly but measurably as we journey into the future?<hex:021A020103>"
23,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKONE_000_207","(-<hex:021A020203>An Introduction to the Heavens<hex:021A020103>-)<hex:021A020203>Would it shock you to learn that the stars drift further and further apart, and may indeed do so forever? Are you eager to learn more?<hex:021A020103>"
24,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_SYSTEM_000_208","The proffered literature provides a fundamental explanation of the laws of the heavens."
25,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_211","(-<hex:021A020203>The Voice of a Growing City<hex:021A020103>-)<hex:021A020203>In the years which followed the founding of Sharlayan, civic policy and other matters of import were decided at the Ecclesia─a public forum at which every citizen was eligible to speak.<hex:021A020103>"
26,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_212","(-<hex:021A020203>The Voice of a Growing City<hex:021A020103>-)<hex:021A020203>As the city's population grew, however, this format became increasingly impractical. The larger number of participants gave rise to ever-longer debates, resulting in significant delays of vital resolutions.<hex:021A020103>"
27,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_213","(-<hex:021A020203>The Voice of a Growing City<hex:021A020103>-)<hex:021A020203>Various measures were introduced in an attempt to curtail protracted discussions, but in the year 201 of the Sixth Astral Era, it was ultimately decreed that Sharlayan would transition to a new form of governance.<hex:021A020103>"
28,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTWO_000_214","(-<hex:021A020203>The Voice of a Growing City<hex:021A020103>-)<hex:021A020203>The nation would now be led by a body of ninety-nine members─citizens chosen from amongst their peers by means of a nationwide vote. Thus was the Forum as we know it today conceived and created.<hex:021A020103>"
29,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_SYSTEM_000_215","The proffered literature provides a fundamental explanation of the establishment of the Forum."
30,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_221","(-<hex:021A020203>Stewards of Wisdom<hex:021A020103>-)<hex:021A020203>During the chaos of the Sixth Umbral Calamity, Archon Nyunkrepf, founder of Sharlayan, bore witness to the madness and savagery of men brought to the brink of despair. Upon raising a settlement on an island in the Northern Empty, he instructed his people thus:<hex:021A020103>"
31,"TEXT_REGNOT5NOUMENONAUTOMATON_00767_BOOKTHREE_000_222","(-<hex:021A020203>Stewards of Wisdom<hex:021A020103>-)<hex:021A020203>Renounce the ways of war, and pursue enlightenment through knowledge and reason.<hex:021A020103>"
